**Overall Accuracy**: 70.75%

**Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| employee_name               |                 100 |        92 |            8 |       0.92 |              2.2792   |
| employer_name               |                 100 |        83 |           17 |       0.83 |              4.8433   |
| federal_income_tax_withheld |                 100 |        99 |            1 |       0.99 |              0.2849   |
| medicare_wages_and_tips     |                 100 |        91 |            9 |       0.91 |              2.5641   |
| social_security_wages       |                 100 |        92 |            8 |       0.92 |              2.2792   |
| state_1                     |                 100 |        45 |           55 |       0.45 |             15.6695   |
| state_1_income_tax_withheld |                 100 |        49 |           51 |       0.49 |             14.5299   |
| state_1_wages_and_tips      |                 100 |        50 |           50 |       0.5  |             14.245    |
| state_2                     |                 100 |        50 |           50 |       0.5  |             14.245    |
| state_2_income_tax_withheld |                 100 |        50 |           50 |       0.5  |             14.245    |
| state_2_wages_and_tips      |                 100 |        50 |           50 |       0.5  |             14.245    |
| wages_and_tips              |                 100 |        98 |            2 |       0.98 |              0.569801 |

**Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|              38 |             12 |        11 |            1 |   0.916667 |
|              39 |             12 |        12 |            0 |   1        |
|              40 |             12 |        12 |            0 |   1        |
|              41 |             12 |         9 |            3 |   0.75     |
|              42 |             12 |        12 |            0 |   1        |
|              43 |             12 |        12 |            0 |   1        |
|              44 |             12 |        12 |            0 |   1        |
|              45 |             12 |        12 |            0 |   1        |
|              46 |             12 |        11 |            1 |   0.916667 |
|              47 |             12 |        12 |            0 |   1        |
|              48 |             12 |        12 |            0 |   1        |
|              49 |             12 |        12 |            0 |   1        |
|              50 |             12 |         4 |            8 |   0.333333 |
|              51 |             12 |         5 |            7 |   0.416667 |
|              52 |             12 |         6 |            6 |   0.5      |
|              53 |             12 |         6 |            6 |   0.5      |
|              54 |             12 |         4 |            8 |   0.333333 |
|              55 |             12 |         6 |            6 |   0.5      |
|              56 |             12 |         6 |            6 |   0.5      |
|              57 |             12 |         6 |            6 |   0.5      |
|              58 |             12 |         6 |            6 |   0.5      |
|              59 |             12 |         6 |            6 |   0.5      |
|              60 |             12 |         6 |            6 |   0.5      |
|              61 |             12 |         6 |            6 |   0.5      |
|              62 |             12 |         6 |            6 |   0.5      |
|              63 |             12 |         6 |            6 |   0.5      |
|              64 |             12 |         6 |            6 |   0.5      |
|              65 |             12 |         5 |            7 |   0.416667 |
|              66 |             12 |         5 |            7 |   0.416667 |
|              67 |             12 |         6 |            6 |   0.5      |
|              68 |             12 |         6 |            6 |   0.5      |
|              69 |             12 |         4 |            8 |   0.333333 |
|              70 |             12 |         6 |            6 |   0.5      |
|              71 |             12 |         6 |            6 |   0.5      |
|              72 |             12 |         6 |            6 |   0.5      |
|              73 |             12 |         6 |            6 |   0.5      |
|              74 |             12 |         6 |            6 |   0.5      |
|              75 |             12 |         5 |            7 |   0.416667 |
|              76 |             12 |         6 |            6 |   0.5      |
|              77 |             12 |         5 |            7 |   0.416667 |
|              78 |             12 |         6 |            6 |   0.5      |
|              79 |             12 |         5 |            7 |   0.416667 |
|              80 |             12 |         5 |            7 |   0.416667 |
|              81 |             12 |         5 |            7 |   0.416667 |
|              82 |             12 |         6 |            6 |   0.5      |
|              83 |             12 |         5 |            7 |   0.416667 |
|              84 |             12 |         6 |            6 |   0.5      |
|              85 |             12 |         5 |            7 |   0.416667 |
|              86 |             12 |         5 |            7 |   0.416667 |
|              87 |             12 |         5 |            7 |   0.416667 |
|              88 |             12 |         4 |            8 |   0.333333 |
|              89 |             12 |         6 |            6 |   0.5      |
|              90 |             12 |         4 |            8 |   0.333333 |
|              91 |             12 |         5 |            7 |   0.416667 |
|              92 |             12 |         6 |            6 |   0.5      |
|              93 |             12 |         5 |            7 |   0.416667 |
|              94 |             12 |         6 |            6 |   0.5      |
|              95 |             12 |         5 |            7 |   0.416667 |
|              96 |             12 |         5 |            7 |   0.416667 |
|              97 |             12 |         6 |            6 |   0.5      |
|              98 |             12 |         5 |            7 |   0.416667 |
|              99 |             12 |         3 |            9 |   0.25     |

**Form Type Summary**:
| Form Type   |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| ADP1        |                 300 |       287 |           13 |   0.956667 |                3.7037 |
| ADP2        |                 300 |       292 |            8 |   0.973333 |                2.2792 |
| IRS1        |                 300 |       141 |          159 |   0.47     |               45.2991 |
| IRS2        |                 300 |       129 |          171 |   0.43     |               48.7179 |
